Analog output scaling is 0.1 Volts/unit of measurement.
[11:08:15.153 AM] Pressure: -44.17,  Volume: 1.35, Battery: 0.56, Timestamp: 01:01:18.332
[11:08:15.243 AM] Pressure: -44.23,  Volume: 1.35, Battery: 0.56, Timestamp: 01:01:18.440
[11:08:15.366 AM] Pressure: -44.23,  Volume: 1.35, Battery: 0.56, Timestamp: 01:01:18.549
[11:08:15.468 AM] Pressure: -44.23,  Volume: 1.35, Battery: 0.56, Timestamp: 01:01:18.657
[11:08:15.581 AM] Pressure: -44.17,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:18.775
[11:08:15.703 AM] Pressure: -44.17,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:18.884
[11:08:15.806 AM] Pressure: -44.17,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:18.992
[11:08:15.918 AM] Pressure: -44.17,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.099
[11:08:16.019 AM] Pressure: -44.17,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.208
[11:08:16.142 AM] Pressure: -44.23,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.316
[11:08:16.233 AM] Pressure: -44.23,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.424
[11:08:16.356 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.533
[11:08:16.470 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.641
[11:08:16.573 AM] Pressure: -44.41,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.749
[11:08:16.674 AM] Pressure: -44.41,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.858
[11:08:16.797 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:19.966
[11:08:16.889 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.073
[11:08:17.012 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.182
[11:08:17.114 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.290
[11:08:17.227 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.398
[11:08:17.330 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.506
[11:08:17.444 AM] Pressure: -44.41,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.614
[11:08:17.545 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.722
[11:08:17.668 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.831
[11:08:17.760 AM] Pressure: -44.29,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:20.939
[11:08:17.882 AM] Pressure: -44.23,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.046
[11:08:17.982 AM] Pressure: -44.23,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.154
[11:08:18.105 AM] Pressure: -44.29,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.263
[11:08:18.207 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.371
[11:08:18.319 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.479
[11:08:18.421 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.587
[11:08:18.535 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.695
[11:08:18.636 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.803
[11:08:18.759 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:21.912
[11:08:18.860 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.019
[11:08:18.950 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.127
[11:08:19.072 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.235
[11:08:19.174 AM] Pressure: -44.53,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.343
[11:08:19.297 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.452
[11:08:19.387 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.560
[11:08:19.511 AM] Pressure: -44.35,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.668
[11:08:19.614 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.776
[11:08:19.725 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.884
[11:08:19.849 AM] Pressure: -44.47,  Volume: 1.26, Battery: 0.56, Timestamp: 01:01:22.993
