Analog output scaling is 0.1 Volts/unit of measurement.
[ 1:55:10.169 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.147
[ 1:55:10.270 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.255
[ 1:55:10.394 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.363
[ 1:55:10.486 PM] Pressure: -80.33,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.471
[ 1:55:10.611 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.579
[ 1:55:10.702 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.687
[ 1:55:10.826 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.795
[ 1:55:10.918 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:38.903
[ 1:55:11.042 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.011
[ 1:55:11.134 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.118
[ 1:55:11.258 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.227
[ 1:55:11.359 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.335
[ 1:55:11.471 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.443
[ 1:55:11.573 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.551
[ 1:55:11.687 PM] Pressure: -80.39,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.659
[ 1:55:11.786 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.767
[ 1:55:11.909 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.875
[ 1:55:12.001 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:39.983
[ 1:55:12.124 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.090
[ 1:55:12.238 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.199
[ 1:55:12.340 PM] Pressure: -80.45,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.306
[ 1:55:12.443 PM] Pressure: -80.51,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.415
[ 1:55:12.556 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.523
[ 1:55:12.682 PM] Pressure: -80.57,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.641
[ 1:55:12.773 PM] Pressure: -80.63,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.750
[ 1:55:12.896 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.858
[ 1:55:12.998 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:40.966
[ 1:55:13.111 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.073
[ 1:55:13.214 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.181
[ 1:55:13.327 PM] Pressure: -80.75,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.289
[ 1:55:13.430 PM] Pressure: -80.69,  Volume: 1.30, Battery: 0.57, Timestamp: 01:13:41.397
