Analog output scaling is 0.1 Volts/unit of measurement.
[ 8:36:43.743 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.479
[ 8:36:43.855 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.587
[ 8:36:43.957 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.695
[ 8:36:44.069 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.803
[ 8:36:44.170 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:04.910
[ 8:36:44.293 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.017
[ 8:36:44.385 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.125
[ 8:36:44.507 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.233
[ 8:36:44.630 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.351
[ 8:36:44.743 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.460
[ 8:36:44.844 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.568
[ 8:36:44.946 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.676
[ 8:36:45.058 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.784
[ 8:36:45.159 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.891
[ 8:36:45.283 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:05.999
[ 8:36:45.374 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.106
[ 8:36:45.496 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.214
[ 8:36:45.609 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.322
[ 8:36:45.711 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.430
[ 8:36:45.812 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.537
[ 8:36:45.923 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.645
[ 8:36:46.046 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.753
[ 8:36:46.148 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.861
[ 8:36:46.260 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:06.969
[ 8:36:46.361 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.076
[ 8:36:46.483 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.184
[ 8:36:46.575 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.292
[ 8:36:46.699 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.399
[ 8:36:46.790 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.507
[ 8:36:46.914 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.615
[ 8:36:47.004 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.723
[ 8:36:47.126 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.831
[ 8:36:47.228 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:07.939
[ 8:36:47.351 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.046
[ 8:36:47.443 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.154
[ 8:36:47.567 AM] Pressure: -106.84,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.262
[ 8:36:47.659 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.370
[ 8:36:47.783 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.477
[ 8:36:47.873 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.585
[ 8:36:47.996 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.693
[ 8:36:48.097 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.801
[ 8:36:48.210 AM] Pressure: -106.48,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:08.909
[ 8:36:48.312 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.016
[ 8:36:48.426 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.124
[ 8:36:48.528 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.232
[ 8:36:48.642 AM] Pressure: -106.31,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.340
[ 8:36:48.744 AM] Pressure: -106.36,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.448
[ 8:36:48.869 AM] Pressure: -106.42,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.556
[ 8:36:48.960 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.664
[ 8:36:49.086 AM] Pressure: -106.54,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.772
[ 8:36:49.177 AM] Pressure: -106.60,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.880
[ 8:36:49.301 AM] Pressure: -106.66,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:09.987
[ 8:36:49.401 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.094
[ 8:36:49.514 AM] Pressure: -106.72,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.202
[ 8:36:49.616 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.310
[ 8:36:49.728 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.418
[ 8:36:49.830 AM] Pressure: -106.78,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.526
[ 8:36:49.953 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.633
[ 8:36:50.044 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.741
[ 8:36:50.165 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.849
[ 8:36:50.267 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:10.957
[ 8:36:50.390 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.064
[ 8:36:50.482 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.172
[ 8:36:50.584 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.280
[ 8:36:50.697 AM] Pressure: -106.95,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.387
[ 8:36:50.799 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.495
[ 8:36:50.924 AM] Pressure: -106.89,  Volume: 1.60, Battery: 0.56, Timestamp: 00:14:11.603
